2_theta_1,intensity_1,2_theta_2,intensity_2,2_theta_3,intensity_3,material_name,material_formula
51.22,100,28.76,80,38.58,80,Welinite-III,"Mn++6(W++++++,Mg)2Si2(O,OH)14"
51.22,100,28.76,80,38.58,80,Welinite-VIII,"(Mn++,Mg)3(W++++++,Mn+++)1-x(SiO4)(O,OH)3 (x=1/3)"
51.22,100,26.24,89,35.70,79,Manganhumite,"(Mn,Mg)7(SiO4)3(OH)2"
50.95,80,38.78,80,52.42,80,Felbertalite,Cu2Pb6Bi8S19
50.95,80,52.42,80,44.58,80,Felbertalite,Cu2Pb6Bi8S19
50.95,80,52.42,80,38.78,80,Felbertalite,Cu2Pb6Bi8S19
50.79,100,35.14,80,31.10,80,Ribbeite,"(Mn++,Mg)5(SiO4)2(OH)2"
50.79,100,31.10,80,35.14,80,Ribbeite,"(Mn++,Mg)5(SiO4)2(OH)2"
50.76,100,71.09,80,40.57,80,Zoubekite,AgPb4Sb4S10
50.76,100,40.57,80,71.09,80,Zoubekite,AgPb4Sb4S10
50.73,100,45.40,80,25.86,20,Ertixiite,Na2Si4O9
50.70,100,31.25,80,34.49,60,Alleghanyite,Mn5(SiO4)2(OH)2
50.67,100,51.44,90,52.39,80,Vincentite,"(Pd,Pt)3(As,Sb,Te)"
50.67,100,44.83,100,33.15,100,Wilkmanite,Ni3Se4
50.67,100,52.39,90,51.97,80,Vincentite,"(Pd,Pt)3(As,Sb,Te)"
50.67,100,33.15,100,44.83,100,Wilkmanite,Ni3Se4
50.67,100,57.95,100,42.40,100,Lindsleyite,"(Ba,Sr)(Ti,Cr,Fe,Mg)21O38"
50.64,100,84.28,70,29.96,60,Sperrylite,PtAs2
50.64,100,30.32,100,60.15,90,Calzirtite,CaZr3TiO9
50.55,100,30.89,100,23.99,60,Nordenskioldine,CaSnB2O6
50.55,100,60.07,100,30.38,100,Tazheranite,CaTiZr2O8
50.49,100,35.06,100,31.15,78,Jerrygibbsite,"(Mn,Zn)9(SiO4)4(OH)2"
50.49,100,31.06,90,33.36,80,Leucophoenicite,Mn7(SiO4)3(OH)2
50.37,100,27.25,100,28.22,90,Nasonite,Pb6Ca4Si6O21Cl2
50.34,100,33.88,100,25.29,100,Chernovite-(Y),YAsO4
50.34,100,25.29,100,33.88,100,Chernovite-(Y),YAsO4
50.28,100,84.47,90,29.86,90,Tolovkite,IrSbS
50.28,100,59.68,100,30.38,100,Lewisite,"(Ca,Fe++,Na)2(Sb,Ti)2O7"
50.28,100,29.86,90,84.47,90,Tolovkite,IrSbS
50.14,100,28.59,80,21.29,80,Tungusite,[Ca14(OH)8](Si8020)(Si8020)2[Fe++9(OH)14]
50.14,100,21.29,80,28.59,80,Tungusite,[Ca14(OH)8](Si8020)(Si8020)2[Fe++9(OH)14]
50.14,100,59.51,100,30.27,100,Uranmicrolite,"(U,Ca)2(Ta,Nb)2O6(OH)"
50.11,100,40.23,100,28.13,100,Argentite,Ag2S
50.11,100,28.13,100,40.23,100,Argentite,Ag2S
50.11,70,18.70,70,40.04,70,Fullerite,C60
50.08,100,25.84,89,45.59,82,Rambergite,MnS
49.84,100,29.91,70,37.90,60,Djerfisherite,"K6Na(Fe,Cu,Ni)25S26Cl"
49.79,100,31.82,100,28.87,100,Plombierite,Ca5H2Si6O18•6H2O
49.79,100,30.92,90,55.29,80,Heazlewoodite,Ni3S2
49.79,100,28.87,100,31.82,100,Plombierite,Ca5H2Si6O18•6H2O
49.73,100,30.48,90,28.97,80,Betekhtinite,"Cu10(Fe,Pb)S6"
49.67,100,41.13,100,27.33,90,Chukhrovite-(Y),"Ca3(Y,Ce)Al2(SO4)F13•10(H2O)"
49.64,100,37.80,90,29.80,90,Owensite,"(Ba,Pb)6(Cu,Fe,Ni)25S27"
49.64,100,29.80,90,37.80,90,Owensite,"(Ba,Pb)6(Cu,Fe,Ni)25S27"
49.55,100,82.18,95,112.02,90,Kalungaite,PdAsSe
49.53,100,11.53,100,38.44,90,Chlormagaluminite,"(Mg,Fe++)4Al2(OH)12(Cl2,CO3)•2(H2O)"
49.50,100,58.07,100,29.36,100,Cesstibtantite,"(Cs,Na)SbTa4O12"
49.44,100,33.97,90,34.90,80,Zirsinalite,"Na6(Ca,Mn,Fe++)Zr[Si6O18]"
49.38,100,29.16,80,48.13,60,Luobusaite,Fe0.83Si2
49.32,100,90.04,100,37.92,90,Ferdisilicite,FeSi2
49.24,100,28.87,80,19.28,80,Caledonite,Pb5Cu2(CO3)(SO4)3(OH)6
49.24,100,19.28,80,28.87,80,Caledonite,Pb5Cu2(CO3)(SO4)3(OH)6
49.21,100,34.06,80,33.28,80,Glaucochroite,CaMnSiO4
49.21,100,33.28,80,34.06,80,Glaucochroite,CaMnSiO4
49.10,100,31.62,100,29.61,100,Saryarkite-(Y),"Ca(Y,Th)Al5(SiO4)2(PO4,SO4)2(OH)7•6(H2O)"
49.10,100,29.61,100,31.62,100,Saryarkite-(Y),"Ca(Y,Th)Al5(SiO4)2(PO4,SO4)2(OH)7•6(H2O)"
49.04,100,31.94,100,25.43,100,Plattnerite,PbO2
49.04,100,25.43,100,31.94,100,Plattnerite,PbO2
48.99,100,28.13,100,44.88,40,Argentopentlandite,"Ag(Fe,Ni)8S8"
48.93,100,32.53,70,35.74,60,Changchengite,IrBiS
48.73,100,57.83,99,33.90,65,Plumbomicrolite,"(Pb,Ca,U)2Ta2O6(OH)"
48.73,100,25.84,100,46.03,90,Calciborite,CaB2O4
48.65,100,29.36,100,57.95,50,Arsenosulvanite,"Cu3(As,V)S4"
48.62,100,46.18,90,37.65,90,Djurleite,Cu31S16
48.62,100,37.65,90,46.18,90,Djurleite,Cu31S16
48.57,100,56.86,100,33.86,100,Zavaritskite,BiOF
48.54,100,63.15,69,38.02,69,Brizziite-III,NaSb+++++O3
48.54,100,63.15,69,38.02,69,Brizziite-VII,NaSb+++++O3
48.54,100,38.02,69,63.15,69,Brizziite-VII,NaSb+++++O3
48.54,100,38.02,69,63.15,69,Brizziite-III,NaSb+++++O3
48.51,100,30.48,80,50.31,70,Luberoite,Pt5Se4
48.51,100,27.87,100,44.35,81,Palladseite,Pd17Se15
48.46,100,46.31,90,45.35,80,Novakite,"(Cu,Ag)21As10"
48.37,100,45.91,70,37.39,70,Chalcocite,Cu2S
48.37,100,37.39,70,45.91,70,Chalcocite,Cu2S
48.21,100,33.54,100,11.68,100,Borcarite,Ca4MgB4O6(OH)6(CO3)2
48.21,100,11.68,100,33.54,100,Borcarite,Ca4MgB4O6(OH)6(CO3)2
48.18,100,18.10,100,38.40,88,Zincalstibite,Zn2AlSb(OH)12
48.10,100,49.79,90,45.30,90,Synchysite-(Y),CaY(CO3)2F
48.10,100,27.16,90,35.31,60,Eglestonite,Hg6Cl3O(OH) (?)
48.10,100,24.03,80,28.04,60,Gerasimovskite,"(Mn,Ca)(Nb,Ti)5O12•9(H2O) (?)"
48.10,100,45.30,90,49.79,90,Synchysite-(Y),CaY(CO3)2F
48.05,100,45.79,100,28.97,100,Hypercinnabar,HgS
48.05,100,23.45,100,48.65,80,Osarsite,"(Os,Ru)AsS"
48.05,100,28.97,100,45.79,100,Hypercinnabar,HgS
47.86,100,29.15,55,32.33,35,Yarrowite,Cu9S8
47.83,100,35.89,100,34.47,100,Hastite,CoSe2
47.83,100,34.47,100,35.89,100,Hastite,CoSe2
47.83,100,54.86,100,36.80,100,Malyshevite,PdCuBiS3
47.78,100,26.71,80,30.77,75,Reinhardbraunsite,"Ca5(SiO4)2(OH,F)2"
47.73,100,55.33,63,29.41,62,Kumtyubeite,Ca5(SiO4)2F2
47.73,100,28.68,80,56.59,40,Chatkalite,Cu6Fe++Sn2S8
47.57,100,40.78,100,19.62,100,Hongshiite,PtCu
47.57,100,32.80,74,29.35,65,Chegemite,Ca7(SiO4)3(OH)2
47.57,100,29.00,85,32.21,30,Spionkopite,Cu1.4S
47.57,100,19.62,100,40.78,100,Hongshiite,PtCu
47.44,100,34.06,100,33.54,80,Omeiite,"(Os,Ru)As2"
47.41,100,38.96,100,44.21,99,Ekaterinite,"Ca2B4O7(Cl,OH)2•2(H2O)"
47.36,100,45.86,100,42.82,40,Orcelite,Ni5-xAs2 (x=0.23)
47.36,100,41.50,100,26.75,100,Genthelvite,Zn4Be3(SiO4)3S
47.36,100,33.03,50,23.20,35,Neighborite,NaMgF3
47.36,100,26.75,100,41.50,100,Genthelvite,Zn4Be3(SiO4)3S
47.30,100,89.41,90,61.75,90,Anduoite,"(Ru,Os)As2"
47.30,100,61.75,90,89.41,90,Anduoite,"(Ru,Os)As2"
47.20,100,45.86,100,41.99,65,Perryite,"(Ni,Fe)8(Si,P)3"
47.17,100,28.35,90,27.15,90,Geffroyite,"(Ag,Cu,Fe)9(Se,S)8"
47.17,100,27.15,90,28.35,90,Geffroyite,"(Ag,Cu,Fe)9(Se,S)8"
47.15,100,63.25,90,38.00,90,Satpaevite,Al12V++++2V+++++6O37•30(H2O)
47.15,100,38.00,90,63.25,90,Satpaevite,Al12V++++2V+++++6O37•30(H2O)
47.04,100,27.25,100,29.96,100,Juanite,Ca10Mg4Al2Si11O39•4(H2O) (?)
47.04,100,10.89,60,30.59,60,Bultfonteinite,"Ca2SiO2(OH,F)4"
47.04,100,29.96,100,27.25,100,Juanite,Ca10Mg4Al2Si11O39•4(H2O) (?)
47.04,100,27.25,100,29.96,100,Juanite,Ca10Mg4Al2Si11O39•4(H2O) (?)
47.04,100,10.89,60,30.59,60,Bultfonteinite,"Ca2SiO2(OH,F)4"
47.02,100,28.28,94,55.77,35,Fluorite,CaF2
46.99,100,30.63,60,54.44,45,Jaipurite,CoS
46.97,100,37.85,90,49.01,80,Roxbyite,Cu1.78S
46.86,100,28.04,60,32.65,50,Bornite,Cu5FeS4
46.86,100,27.77,100,45.07,90,Huanghoite-(Ce),BaCe(CO3)2F
46.79,100,53.21,60,30.59,40,Geversite,"Pt(Sb,Bi)2"
46.79,100,21.73,51,36.87,39,Stalderite,"TlCu(Zn,Fe,Hg)2As2S6"
46.76,100,32.57,95,22.88,60,Cryolite,Na3AlF6
46.74,100,34.06,100,35.45,80,Oenite,CoSbAs
46.66,100,37.44,100,29.55,100,Chvilevaite,"Na(Cu,Fe,Zn)2S2"
46.66,100,29.55,100,37.44,100,Chvilevaite,"Na(Cu,Fe,Zn)2S2"
46.58,100,32.17,100,25.96,75,Bastnasite-(Y),Y(CO3)F
46.48,100,28.04,100,54.90,50,Mgriite,"(Cu,Fe)3AsSe3"
