Created as New Dataset,Sample 035 By whitece Date Monday, June 29 2020
cm-1,%T
3310.00,86.61
3309.50,86.61
3309.00,86.62
3308.50,86.61
3308.00,86.60
3307.50,86.58
3307.00,86.58
3306.50,86.58
3306.00,86.59
3305.50,86.60
3305.00,86.58
3304.50,86.56
3304.00,86.54
3303.50,86.53
3303.00,86.52
3302.50,86.50
3302.00,86.48
3301.50,86.48
3301.00,86.48
3300.50,86.49
3300.00,86.50
3299.50,86.50
3299.00,86.49
3298.50,86.48
3298.00,86.47
3297.50,86.47
3297.00,86.46
3296.50,86.46
3296.00,86.45
3295.50,86.45
3295.00,86.45
3294.50,86.45
3294.00,86.44
3293.50,86.43
3293.00,86.41
3292.50,86.40
3292.00,86.39
3291.50,86.39
3291.00,86.40
3290.50,86.40
3290.00,86.39
3289.50,86.37
3289.00,86.34
3288.50,86.31
3288.00,86.28
3287.50,86.27
3287.00,86.27
3286.50,86.28
3286.00,86.29
3285.50,86.28
3285.00,86.27
3284.50,86.26
3284.00,86.25
3283.50,86.24
3283.00,86.22
3282.50,86.20
3282.00,86.19
3281.50,86.18
3281.00,86.18
3280.50,86.18
3280.00,86.18
3279.50,86.18
3279.00,86.17
3278.50,86.15
3278.00,86.14
3277.50,86.14
3277.00,86.14
3276.50,86.14
3276.00,86.14
3275.50,86.13
3275.00,86.12
3274.50,86.11
3274.00,86.10
3273.50,86.11
3273.00,86.12
3272.50,86.12
3272.00,86.12
3271.50,86.11
3271.00,86.09
3270.50,86.07
3270.00,86.04
3269.50,86.00
3269.00,85.98
3268.50,85.98
3268.00,86.00
3267.50,86.02
3267.00,86.03
3266.50,86.03
3266.00,86.01
3265.50,86.00
3265.00,85.99
3264.50,85.99
3264.00,86.00
3263.50,86.00
3263.00,85.99
3262.50,85.97
3262.00,85.95
3261.50,85.93
3261.00,85.93
3260.50,85.94
3260.00,85.95
3259.50,85.95
3259.00,85.94
3258.50,85.93
3258.00,85.91
3257.50,85.89
3257.00,85.88
3256.50,85.87
3256.00,85.86
3255.50,85.85
3255.00,85.85
3254.50,85.83
3254.00,85.82
3253.50,85.82
3253.00,85.81
3252.50,85.81
3252.00,85.80
3251.50,85.77
3251.00,85.75
3250.50,85.75
3250.00,85.76
3249.50,85.78
3249.00,85.78
3248.50,85.77
3248.00,85.75
3247.50,85.73
3247.00,85.72
3246.50,85.71
3246.00,85.71
3245.50,85.70
3245.00,85.68
3244.50,85.68
3244.00,85.69
3243.50,85.70
3243.00,85.70
3242.50,85.69
3242.00,85.68
3241.50,85.66
3241.00,85.66
3240.50,85.65
3240.00,85.63
3239.50,85.60
3239.00,85.58
3238.50,85.58
3238.00,85.59
3237.50,85.61
3237.00,85.62
3236.50,85.61
3236.00,85.60
3235.50,85.60
3235.00,85.59
3234.50,85.58
3234.00,85.57
